wavenumber(cm^-1),spol(y),ppol(zx),spol(x),ppol(zy)
9.989963699999999562e+02,-3.155485649449849709e-10,-7.295204511201659365e-10,-3.580831119915642627e-10,-9.179684429207398610e-10
1.000924939999999992e+03,-3.170821255533937148e-10,-7.327886218110382951e-10,-3.598662022983627402e-10,-9.223421472030392067e-10
1.002853500000000054e+03,-3.185756987075094834e-10,-7.356577087252153679e-10,-3.617500255795937967e-10,-9.269402252047263492e-10
1.004782069999999976e+03,-3.201248888073230623e-10,-7.389419585675838220e-10,-3.635533031998153526e-10,-9.313502019276477989e-10
1.006710630000000037e+03,-3.216327255050839731e-10,-7.418324832537684953e-10,-3.654575027462526377e-10,-9.359967999246778510e-10
1.008639199999999960e+03,-3.231975928221013991e-10,-7.451439496403656420e-10,-3.672805879541905833e-10,-9.404522926703115466e-10
1.010567760000000021e+03,-3.247198706794687800e-10,-7.480560656378600081e-10,-3.692054478238232149e-10,-9.451480357900921320e-10
1.012496329999999944e+03,-3.263005942288883918e-10,-7.513966232032403252e-10,-3.710485207843404111e-10,-9.496509242865451500e-10
1.014424890000000005e+03,-3.278374925493745390e-10,-7.543305173818065397e-10,-3.729943282745632045e-10,-9.543964778623845244e-10
1.016353449999999953e+03,-3.294342604827061807e-10,-7.577010040074370413e-10,-3.748576253657030668e-10,-9.589478136572854490e-10
1.018282019999999989e+03,-3.309859690960037760e-10,-7.606568946971977778e-10,-3.768246820043597577e-10,-9.637438908945029635e-10
1.020210580000000050e+03,-3.325989926329914401e-10,-7.640579132421050893e-10,-3.787084805592126920e-10,-9.683445697600097548e-10
1.022139149999999972e+03,-3.341656880265530535e-10,-7.670359889171093162e-10,-3.806970731377973280e-10,-9.731918478312879409e-10
1.024067710000000034e+03,-3.357951751450251627e-10,-7.704680229517700250e-10,-3.826016520168120319e-10,-9.778426673811299570e-10
1.025996280000000070e+03,-3.373770446338757432e-10,-7.734684957759806491e-10,-3.846120820591610724e-10,-9.827418644490302915e-10
