wavenumber(cm^-1),k(x),k(y),k(z)
9.989963699999999562e+02,1.991615489755218604e-05,1.761354938680226154e-05,1.600988834730675552e-05
1.000924939999999992e+03,1.997821676371011804e-05,1.766272786642579369e-05,1.605827347219028465e-05
1.002853500000000054e+03,2.004057460532644917e-05,1.771211767945798105e-05,1.610688384467092818e-05
1.004782069999999976e+03,2.010323099189021759e-05,1.776172059138809140e-05,1.615572141007453775e-05
1.006710630000000037e+03,2.016618721229834017e-05,1.781153735073049034e-05,1.620478711498527031e-05
1.008639199999999960e+03,2.022944587414536355e-05,1.786156974675286613e-05,1.625408293325371323e-05
1.010567760000000021e+03,2.029300829230722684e-05,1.791181854305588491e-05,1.630360983075390118e-05
1.012496329999999944e+03,2.035687711321233184e-05,1.796228555311362392e-05,1.635336981040703952e-05
1.014424890000000005e+03,2.042105367828430399e-05,1.801297155593529505e-05,1.640336385780845823e-05
1.016353449999999953e+03,2.048554033834761067e-05,1.806387812510503984e-05,1.645359374444247357e-05
1.018282019999999989e+03,2.055033946751472467e-05,1.811500684898199203e-05,1.650406125926779313e-05
1.020210580000000050e+03,2.061545244813793731e-05,1.816635853031884899e-05,1.655476741829420298e-05
1.022139149999999972e+03,2.068088202702703029e-05,1.821793504504135263e-05,1.660571429959428042e-05
1.024067710000000034e+03,2.074662961457751615e-05,1.826973721216230555e-05,1.665690294002316360e-05
1.025996280000000070e+03,2.081269799911602557e-05,1.832176693338782237e-05,1.670833544874284241e-05
1.027924839999999904e+03,2.087908861970642636e-05,1.837402504434635132e-05,1.676001288392463205e-05
1.029853409999999940e+03,2.094580430699796703e-05,1.842651347299662092e-05,1.681193738642453017e-05
1.031781970000000001e+03,2.101284652936364090e-05,1.847923307194731512e-05,1.686411003621360351e-05
1.033710530000000063e+03,2.108021781041082560e-05,1.853218552071786909e-05,1.691653273399163057e-05
1.035639100000000099e+03,2.114792069905130671e-05,1.858537251479751117e-05,1.696920739944695084e-05
1.037567659999999933e+03,2.121595670885580981e-05,1.863879493296632567e-05,1.702213514618214200e-05
1.039496229999999969e+03,2.128432877994086215e-05,1.869245477095837565e-05,1.707531819704662457e-05
1.041424790000000030e+03,2.135303845685938788e-05,1.874635292548582931e-05,1.712875768870579280e-05
1.043353360000000066e+03,2.142208872502889645e-05,1.880049142027846932e-05,1.718245587794565231e-05
