Type,Name,Parent,PosX,PosY,PosZ,RotXX,RotYX,RotZX,RotXY,RotYY,RotZY,RotXZ,RotYZ,RotZZ,Radius,Height,SizeX,SizeY,SizeZ,Filename,Scale,Red,Green,Blue
CustomItem,elx_registration_tray-1,,0.3048,0,0,1,0,0,0,1,0,0,0,1,,,,,,,,,,
Mesh,,elx_registration_tray-1,0,0,0,1,0,0,0,1,0,0,0,1,,,,,,elx_assy/elx_registration_tray.STL,1,0.4,0.4,0.4
TaskRegion,Pick Task Region,elx_registration_tray-1,0,0,0.01524,1,0,0,0,1,0,0,0,1,,,,,,,,,,
CustomItem,elx_housing-1,,0.377685578,2.75E-02,0.0127,1,0,0,0,1,0,0,0,1,,,,,,,,,,
Mesh,,elx_housing-1,0,0,0,1,0,0,0,1,0,0,0,1,,,,,,elx_assy/elx_housing.STL,1,0.8,1,1
TaskRegion,Pick Task Frame,elx_housing-1,0,0,0.0381,1,0,0,0,1,0,0,0,1,,,,,,,,,,
CustomItem,elx_housing-2,,0.254389755,4.68E-02,0.0127,1,0,0,0,1,0,0,0,1,,,,,,,,,,
Mesh,,elx_housing-2,0,0,0,1,0,0,0,1,0,0,0,1,,,,,,elx_assy/elx_housing.STL,1,0.8,1,1
TaskRegion,Pick Task Frame,elx_housing-2,0,0,0.0381,1,0,0,0,1,0,0,0,1,,,,,,,,,,
CustomItem,elx_board-1,,0.242626063,-0.119652763,0.0127,1,0,0,0,1,0,0,0,1,,,,,,,,,,
Mesh,,elx_board-1,0,0,0,1,0,0,0,1,0,0,0,1,,,,,,elx_assy/elx_board.STL,1,0,1,0
TaskRegion,Pick Task Frame,elx_board-1,0,0,0.0381,0,1,0,-1,0,0,0,0,1,,,,,,,,,,
CustomItem,elx_board-2,,0.259340489,-0.219015456,0.0127,1,0,0,0,1,0,0,0,1,,,,,,,,,,
Mesh,,elx_board-2,0,0,0,1,0,0,0,1,0,0,0,1,,,,,,elx_assy/elx_board.STL,1,0,1,0
TaskRegion,Pick Task Frame,elx_board-2,0,0,0.0381,0,1,0,-1,0,0,0,0,1,,,,,,,,,,
CustomItem,elx_battery-1,,0.397009288,-0.142954418,0.0127,1,0,0,0,0,1,0,-1,0,,,,,,,,,,
Mesh,,elx_battery-1,0,0,0,1,0,0,0,1,0,0,0,1,,,,,,elx_assy/elx_battery.STL,1,1,1,0
TaskRegion,Pick Task Frame,elx_battery-1,0,0.05842,0,1,0,0,0,0,-1,0,1,0,,,,,,,,,,
CustomItem,elx_battery-2,,0.38043673,-0.213683636,0.0127,1,0,0,0,0,1,0,-1,0,,,,,,,,,,
Mesh,,elx_battery-2,0,0,0,1,0,0,0,1,0,0,0,1,,,,,,elx_assy/elx_battery.STL,1,1,1,0
TaskRegion,Pick Task Frame,elx_battery-2,0,0.05842,0,1,0,0,0,0,-1,0,1,0,,,,,,,,,,
CustomItem,elx_assy_assembled-1/elx_housing-1,,0.3048,0.23495,0.00635,1.22E-16,-1,0,1,1.22E-16,0,0,0,1,,,,,,,,,,
Mesh,,elx_assy_assembled-1/elx_housing-1,0,0,0,1,0,0,0,1,0,0,0,1,,,,,,elx_assy/elx_housing.STL,1,0.8,1,1
TaskRegion,Pick Task Frame,elx_assy_assembled-1/elx_housing-1,0,0,0.0381,1,0,0,0,1,0,0,0,1,,,,,,,,,,
CustomItem,elx_assy_assembled-1/elx_board-1,,0.31877,0.23495,0.01905,-1,5.44E-16,3.54E-16,-5.44E-16,-1,-1.95E-16,3.54E-16,-1.95E-16,1,,,,,,,,,,
Mesh,,elx_assy_assembled-1/elx_board-1,0,0,0,1,0,0,0,1,0,0,0,1,,,,,,elx_assy/elx_board.STL,1,0,1,0
TaskRegion,Pick Task Frame,elx_assy_assembled-1/elx_board-1,0,0,0.0381,0,1,0,-1,0,0,0,0,1,,,,,,,,,,
CustomItem,elx_assy_assembled-1/elx_battery-1,,0.24003,0.23495,0.01143,1.78E-16,-1,8.62E-17,2.52E-16,8.62E-17,1,-1,-1.78E-16,2.52E-16,,,,,,,,,,
Mesh,,elx_assy_assembled-1/elx_battery-1,0,0,0,1,0,0,0,1,0,0,0,1,,,,,,elx_assy/elx_battery.STL,1,1,1,0
TaskRegion,Pick Task Frame,elx_assy_assembled-1/elx_battery-1,0,0.05842,0,1,0,0,0,0,-1,0,1,0,,,,,,,,,,
