wave_number(cm^-1),k_film(x),k_film(y),k_film(z)
1588,2.4166E-5,1.3622E-5,6.2692E-6
1589,2.4229E-5,1.3656E-5,6.2881E-6
1590,2.4292E-5,1.3691E-5,6.307E-6
1591,2.4356E-5,1.3726E-5,6.326E-6
1592,2.442E-5,1.3761E-5,6.3451E-6
1593,2.4484E-5,1.3797E-5,6.3643E-6
1594,2.4548E-5,1.3832E-5,6.3836E-6
1595,2.4613E-5,1.3868E-5,6.4029E-6
1596,2.4677E-5,1.3903E-5,6.4224E-6
1597,2.4742E-5,1.3939E-5,6.442E-6
1598,2.4808E-5,1.3975E-5,6.4617E-6
1599,2.4873E-5,1.4011E-5,6.4814E-6
1600,2.4939E-5,1.4048E-5,6.5013E-6
1601,2.5006E-5,1.4084E-5,6.5212E-6
1602,2.5072E-5,1.4121E-5,6.5413E-6
1603,2.5139E-5,1.4158E-5,6.5614E-6
1604,2.5206E-5,1.4195E-5,6.5817E-6
1605,2.5273E-5,1.4232E-5,6.6021E-6
1606,2.534E-5,1.4269E-5,6.6225E-6
1607,2.5408E-5,1.4306E-5,6.6431E-6
1608,2.5477E-5,1.4344E-5,6.6637E-6
1609,2.5545E-5,1.4382E-5,6.6845E-6
1610,2.5614E-5,1.442E-5,6.7054E-6
1611,2.5683E-5,1.4457E-5,6.7264E-6
1612,2.5752E-5,1.4496E-5,6.7475E-6
1613,2.5821E-5,1.4534E-5,6.7687E-6
1614,2.5891E-5,1.4573E-5,6.79E-6
1615,2.5961E-5,1.4611E-5,6.8114E-6
1616,2.6032E-5,1.465E-5,6.8329E-6
1617,2.6102E-5,1.4689E-5,6.8545E-6
1618,2.6173E-5,1.4728E-5,6.8763E-6
1619,2.6245E-5,1.4768E-5,6.8981E-6
1620,2.6316E-5,1.4807E-5,6.9201E-6
1621,2.6388E-5,1.4847E-5,6.9422E-6
1622,2.646E-5,1.4887E-5,6.9644E-6
1623,2.6533E-5,1.4927E-5,6.9867E-6
1624,2.6606E-5,1.4967E-5,7.0091E-6
1625,2.6679E-5,1.5007E-5,7.0317E-6
1626,2.6752E-5,1.5048E-5,7.0544E-6
1627,2.6826E-5,1.5088E-5,7.0771E-6
1628,2.69E-5,1.5129E-5,7.1001E-6
1629,2.6975E-5,1.517E-5,7.1231E-6
1630,2.7049E-5,1.5212E-5,7.1463E-6
1631,2.7125E-5,1.5253E-5,7.1695E-6
1632,2.72E-5,1.5295E-5,7.1929E-6
1633,2.7276E-5,1.5337E-5,7.2164E-6
1634,2.7352E-5,1.5379E-5,7.2401E-6
1635,2.7428E-5,1.5421E-5,7.2639E-6
1636,2.7505E-5,1.5463E-5,7.2878E-6
1637,2.7582E-5,1.5506E-5,7.3118E-6
1638,2.7659E-5,1.5548E-5,7.336E-6
1639,2.7737E-5,1.5591E-5,7.3603E-6
1640,2.7815E-5,1.5635E-5,7.3848E-6
1641,2.7894E-5,1.5678E-5,7.4093E-6
1642,2.7973E-5,1.5721E-5,7.434E-6
1643,2.8052E-5,1.5765E-5,7.4589E-6
1644,2.8131E-5,1.5809E-5,7.4838E-6
1645,2.8211E-5,1.5853E-5,7.509E-6
1646,2.8291E-5,1.5898E-5,7.5342E-6
1647,2.8372E-5,1.5942E-5,7.5596E-6
1648,2.8453E-5,1.5987E-5,7.5851E-6
1649,2.8534E-5,1.6032E-5,7.6108E-6
1650,2.8616E-5,1.6077E-5,7.6367E-6
1651,2.8698E-5,1.6122E-5,7.6626E-6
1652,2.878E-5,1.6168E-5,7.6887E-6
1653,2.8863E-5,1.6214E-5,7.715E-6
1654,2.8947E-5,1.626E-5,7.7414E-6
1655,2.903E-5,1.6306E-5,7.768E-6
1656,2.9114E-5,1.6353E-5,7.7947E-6
1657,2.9198E-5,1.6399E-5,7.8216E-6
1658,2.9283E-5,1.6446E-5,7.8486E-6
1659,2.9368E-5,1.6493E-5,7.8758E-6
1660,2.9454E-5,1.654E-5,7.9031E-6
1661,2.954E-5,1.6588E-5,7.9306E-6
1662,2.9626E-5,1.6636E-5,7.9583E-6
1663,2.9713E-5,1.6684E-5,7.9861E-6
1664,2.98E-5,1.6732E-5,8.0141E-6
1665,2.9888E-5,1.6781E-5,8.0422E-6
1666,2.9976E-5,1.6829E-5,8.0706E-6
1667,3.0064E-5,1.6878E-5,8.099E-6
1668,3.0153E-5,1.6928E-5,8.1277E-6
1669,3.0242E-5,1.6977E-5,8.1565E-6
1670,3.0332E-5,1.7027E-5,8.1855E-6
1671,3.0422E-5,1.7076E-5,8.2146E-6
1672,3.0513E-5,1.7127E-5,8.244E-6
1673,3.0604E-5,1.7177E-5,8.2735E-6
1674,3.0695E-5,1.7228E-5,8.3032E-6
1675,3.0787E-5,1.7279E-5,8.3331E-6
1676,3.0879E-5,1.733E-5,8.3631E-6
1677,3.0972E-5,1.7381E-5,8.3934E-6
1678,3.1065E-5,1.7433E-5,8.4238E-6
1679,3.1159E-5,1.7485E-5,8.4544E-6
1680,3.1253E-5,1.7537E-5,8.4852E-6
1681,3.1348E-5,1.759E-5,8.5162E-6
1682,3.1443E-5,1.7642E-5,8.5473E-6
1683,3.1539E-5,1.7695E-5,8.5787E-6
1684,3.1635E-5,1.7749E-5,8.6103E-6
1685,3.1731E-5,1.7802E-5,8.642E-6
1686,3.1828E-5,1.7856E-5,8.674E-6
1687,3.1926E-5,1.791E-5,8.7061E-6
1688,3.2024E-5,1.7964E-5,8.7385E-6
1689,3.2122E-5,1.8019E-5,8.7711E-6
1690,3.2221E-5,1.8074E-5,8.8038E-6
1691,3.2321E-5,1.8129E-5,8.8368E-6
1692,3.2421E-5,1.8185E-5,8.87E-6
1693,3.2521E-5,1.8241E-5,8.9034E-6
1694,3.2622E-5,1.8297E-5,8.937E-6
1695,3.2724E-5,1.8353E-5,8.9709E-6
1696,3.2826E-5,1.841E-5,9.0049E-6
1697,3.2928E-5,1.8467E-5,9.0392E-6
1698,3.3031E-5,1.8524E-5,9.0737E-6
1699,3.3135E-5,1.8582E-5,9.1084E-6
1700,3.3239E-5,1.864E-5,9.1434E-6
1701,3.3344E-5,1.8698E-5,9.1785E-6
1702,3.3449E-5,1.8757E-5,9.2139E-6
1703,3.3555E-5,1.8816E-5,9.2496E-6
1704,3.3662E-5,1.8875E-5,9.2855E-6
1705,3.3769E-5,1.8934E-5,9.3216E-6
1706,3.3876E-5,1.8994E-5,9.3579E-6
1707,3.3984E-5,1.9054E-5,9.3945E-6
1708,3.4093E-5,1.9115E-5,9.4314E-6
1709,3.4202E-5,1.9176E-5,9.4685E-6
1710,3.4312E-5,1.9237E-5,9.5058E-6
1711,3.4423E-5,1.9298E-5,9.5434E-6
1712,3.4534E-5,1.936E-5,9.5813E-6
1713,3.4645E-5,1.9422E-5,9.6194E-6
1714,3.4758E-5,1.9485E-5,9.6578E-6
1715,3.487E-5,1.9548E-5,9.6965E-6
1716,3.4984E-5,1.9611E-5,9.7354E-6
1717,3.5098E-5,1.9675E-5,9.7745E-6
1718,3.5213E-5,1.9739E-5,9.814E-6
1719,3.5328E-5,1.9803E-5,9.8537E-6
1720,3.5444E-5,1.9868E-5,9.8937E-6
1721,3.5561E-5,1.9933E-5,9.934E-6
1722,3.5678E-5,1.9998E-5,9.9746E-6
1723,3.5797E-5,2.0064E-5,1.0016E-5
1724,3.5915E-5,2.013E-5,1.0057E-5
1725,3.6035E-5,2.0197E-5,1.0098E-5
1726,3.6154E-5,2.0264E-5,1.014E-5
1727,3.6275E-5,2.0331E-5,1.0182E-5
1728,3.6397E-5,2.0399E-5,1.0224E-5
1729,3.6519E-5,2.0467E-5,1.0267E-5
1730,3.6642E-5,2.0536E-5,1.031E-5
1731,3.6765E-5,2.0605E-5,1.0353E-5
1732,3.6889E-5,2.0674E-5,1.0397E-5
1733,3.7014E-5,2.0744E-5,1.0441E-5
1734,3.714E-5,2.0814E-5,1.0485E-5
1735,3.7266E-5,2.0885E-5,1.053E-5
1736,3.7393E-5,2.0956E-5,1.0574E-5
1737,3.7521E-5,2.1028E-5,1.062E-5
1738,3.765E-5,2.11E-5,1.0665E-5
1739,3.778E-5,2.1172E-5,1.0711E-5
1740,3.791E-5,2.1245E-5,1.0757E-5
1741,3.8041E-5,2.1318E-5,1.0804E-5
1742,3.8173E-5,2.1392E-5,1.0851E-5
1743,3.8305E-5,2.1466E-5,1.0898E-5
1744,3.8438E-5,2.1541E-5,1.0946E-5
1745,3.8573E-5,2.1616E-5,1.0994E-5
1746,3.8708E-5,2.1692E-5,1.1042E-5
1747,3.8844E-5,2.1768E-5,1.1091E-5
1748,3.898E-5,2.1845E-5,1.114E-5
1749,3.9118E-5,2.1922E-5,1.119E-5
1750,3.9256E-5,2.2E-5,1.124E-5
1751,3.9395E-5,2.2078E-5,1.129E-5
1752,3.9535E-5,2.2156E-5,1.1341E-5
1753,3.9676E-5,2.2235E-5,1.1392E-5
1754,3.9818E-5,2.2315E-5,1.1444E-5
1755,3.9961E-5,2.2395E-5,1.1496E-5
1756,4.0105E-5,2.2476E-5,1.1548E-5
1757,4.0249E-5,2.2557E-5,1.1601E-5
1758,4.0395E-5,2.2639E-5,1.1654E-5
1759,4.0541E-5,2.2721E-5,1.1708E-5
1760,4.0689E-5,2.2804E-5,1.1762E-5
1761,4.0837E-5,2.2887E-5,1.1817E-5
1762,4.0986E-5,2.2971E-5,1.1872E-5
1763,4.1136E-5,2.3056E-5,1.1927E-5
1764,4.1288E-5,2.3141E-5,1.1983E-5
1765,4.144E-5,2.3227E-5,1.2039E-5
1766,4.1593E-5,2.3313E-5,1.2096E-5
1767,4.1748E-5,2.34E-5,1.2154E-5
1768,4.1903E-5,2.3487E-5,1.2212E-5
1769,4.2059E-5,2.3575E-5,1.227E-5
1770,4.2217E-5,2.3664E-5,1.2329E-5
1771,4.2375E-5,2.3753E-5,1.2388E-5
1772,4.2535E-5,2.3843E-5,1.2448E-5
1773,4.2696E-5,2.3934E-5,1.2508E-5
1774,4.2857E-5,2.4025E-5,1.2569E-5
1775,4.302E-5,2.4117E-5,1.2631E-5
1776,4.3184E-5,2.4209E-5,1.2693E-5
1777,4.3349E-5,2.4303E-5,1.2755E-5
1778,4.3516E-5,2.4397E-5,1.2818E-5
1779,4.3683E-5,2.4491E-5,1.2882E-5
1780,4.3852E-5,2.4586E-5,1.2946E-5
1781,4.4022E-5,2.4682E-5,1.3011E-5
1782,4.4193E-5,2.4779E-5,1.3076E-5
1783,4.4365E-5,2.4876E-5,1.3142E-5
1784,4.4539E-5,2.4974E-5,1.3209E-5
1785,4.4713E-5,2.5073E-5,1.3276E-5
1786,4.4889E-5,2.5173E-5,1.3344E-5
1787,4.5067E-5,2.5273E-5,1.3412E-5
1788,4.5245E-5,2.5374E-5,1.3481E-5
1789,4.5425E-5,2.5476E-5,1.3551E-5
1790,4.5606E-5,2.5578E-5,1.3621E-5
1791,4.5789E-5,2.5682E-5,1.3692E-5
1792,4.5973E-5,2.5786E-5,1.3764E-5
1793,4.6159E-5,2.5891E-5,1.3836E-5
1794,4.6345E-5,2.5997E-5,1.3909E-5
1795,4.6533E-5,2.6103E-5,1.3983E-5
1796,4.6723E-5,2.6211E-5,1.4058E-5
1797,4.6914E-5,2.6319E-5,1.4133E-5
1798,4.7107E-5,2.6428E-5,1.4209E-5
1799,4.7301E-5,2.6538E-5,1.4285E-5
1800,4.7496E-5,2.6649E-5,1.4363E-5
1801,4.7693E-5,2.6761E-5,1.4441E-5
1802,4.7892E-5,2.6874E-5,1.452E-5
1803,4.8092E-5,2.6987E-5,1.46E-5
1804,4.8294E-5,2.7102E-5,1.468E-5
1805,4.8497E-5,2.7217E-5,1.4762E-5
1806,4.8702E-5,2.7334E-5,1.4844E-5
1807,4.8909E-5,2.7451E-5,1.4927E-5
1808,4.9118E-5,2.757E-5,1.5011E-5
1809,4.9328E-5,2.7689E-5,1.5096E-5
1810,4.954E-5,2.7809E-5,1.5181E-5
1811,4.9753E-5,2.7931E-5,1.5268E-5
1812,4.9969E-5,2.8053E-5,1.5355E-5
1813,5.0186E-5,2.8177E-5,1.5443E-5
1814,5.0405E-5,2.8301E-5,1.5533E-5
1815,5.0626E-5,2.8427E-5,1.5623E-5
1816,5.0848E-5,2.8554E-5,1.5714E-5
1817,5.1073E-5,2.8681E-5,1.5806E-5
1818,5.13E-5,2.8811E-5,1.59E-5
1819,5.1528E-5,2.8941E-5,1.5994E-5
1820,5.1759E-5,2.9072E-5,1.6089E-5
1821,5.1991E-5,2.9204E-5,1.6185E-5
1822,5.2226E-5,2.9338E-5,1.6283E-5
1823,5.2463E-5,2.9473E-5,1.6381E-5
1824,5.2702E-5,2.9609E-5,1.6481E-5
1825,5.2943E-5,2.9746E-5,1.6581E-5
1826,5.3186E-5,2.9885E-5,1.6683E-5
1827,5.3431E-5,3.0025E-5,1.6786E-5
1828,5.3679E-5,3.0166E-5,1.6891E-5
1829,5.3929E-5,3.0308E-5,1.6996E-5
1830,5.4181E-5,3.0452E-5,1.7103E-5
1831,5.4436E-5,3.0597E-5,1.721E-5
1832,5.4693E-5,3.0744E-5,1.732E-5
1833,5.4953E-5,3.0892E-5,1.743E-5
1834,5.5215E-5,3.1041E-5,1.7542E-5
1835,5.5479E-5,3.1192E-5,1.7655E-5
1836,5.5746E-5,3.1345E-5,1.7769E-5
1837,5.6016E-5,3.1499E-5,1.7885E-5
1838,5.6289E-5,3.1654E-5,1.8003E-5
1839,5.6564E-5,3.1811E-5,1.8121E-5
1840,5.6842E-5,3.1969E-5,1.8242E-5
1841,5.7122E-5,3.2129E-5,1.8363E-5
1842,5.7406E-5,3.2291E-5,1.8487E-5
1843,5.7692E-5,3.2454E-5,1.8611E-5
1844,5.7982E-5,3.2619E-5,1.8738E-5
1845,5.8274E-5,3.2786E-5,1.8866E-5
1846,5.857E-5,3.2955E-5,1.8995E-5
1847,5.8868E-5,3.3125E-5,1.9127E-5
1848,5.917E-5,3.3297E-5,1.926E-5
1849,5.9475E-5,3.3471E-5,1.9395E-5
1850,5.9783E-5,3.3646E-5,1.9531E-5
1851,6.0095E-5,3.3824E-5,1.967E-5
1852,6.041E-5,3.4003E-5,1.981E-5
1853,6.0728E-5,3.4185E-5,1.9952E-5
1854,6.105E-5,3.4368E-5,2.0097E-5
1855,6.1376E-5,3.4554E-5,2.0243E-5
1856,6.1705E-5,3.4741E-5,2.0391E-5
1857,6.2039E-5,3.4931E-5,2.0541E-5
1858,6.2375E-5,3.5123E-5,2.0694E-5
1859,6.2716E-5,3.5317E-5,2.0848E-5
1860,6.3061E-5,3.5513E-5,2.1005E-5
1861,6.3411E-5,3.5711E-5,2.1164E-5
1862,6.3764E-5,3.5912E-5,2.1325E-5
1863,6.4121E-5,3.6115E-5,2.1489E-5
1864,6.4483E-5,3.632E-5,2.1655E-5
1865,6.4849E-5,3.6528E-5,2.1824E-5
1866,6.522E-5,3.6738E-5,2.1995E-5
1867,6.5596E-5,3.6951E-5,2.2169E-5
1868,6.5976E-5,3.7167E-5,2.2345E-5
1869,6.6361E-5,3.7384E-5,2.2524E-5
1870,6.6751E-5,3.7605E-5,2.2706E-5
1871,6.7147E-5,3.7829E-5,2.2891E-5
1872,6.7547E-5,3.8055E-5,2.3079E-5
1873,6.7953E-5,3.8284E-5,2.327E-5
1874,6.8364E-5,3.8516E-5,2.3464E-5
1875,6.8781E-5,3.8751E-5,2.3661E-5
1876,6.9204E-5,3.8989E-5,2.3861E-5
1877,6.9633E-5,3.923E-5,2.4065E-5
1878,7.0067E-5,3.9474E-5,2.4271E-5
1879,7.0508E-5,3.9721E-5,2.4482E-5
1880,7.0955E-5,3.9972E-5,2.4696E-5
1881,7.1409E-5,4.0226E-5,2.4914E-5
1882,7.187E-5,4.0483E-5,2.5136E-5
1883,7.2337E-5,4.0744E-5,2.5361E-5
1884,7.2812E-5,4.1009E-5,2.5591E-5
1885,7.3294E-5,4.1277E-5,2.5825E-5
1886,7.3783E-5,4.1549E-5,2.6063E-5
1887,7.4281E-5,4.1825E-5,2.6305E-5
1888,7.4786E-5,4.2104E-5,2.6552E-5
1889,7.53E-5,4.2388E-5,2.6804E-5
1890,7.5822E-5,4.2676E-5,2.7061E-5
1891,7.6353E-5,4.2968E-5,2.7322E-5
1892,7.6894E-5,4.3264E-5,2.7589E-5
1893,7.7444E-5,4.3565E-5,2.7861E-5
1894,7.8004E-5,4.387E-5,2.8139E-5
1895,7.8574E-5,4.4179E-5,2.8422E-5
1896,7.9155E-5,4.4494E-5,2.8711E-5
1897,7.9747E-5,4.4813E-5,2.9007E-5
1898,8.035E-5,4.5138E-5,2.9308E-5
1899,8.0965E-5,4.5467E-5,2.9617E-5
1900,8.1592E-5,4.5802E-5,2.9932E-5
1901,8.2232E-5,4.6142E-5,3.0254E-5
1902,8.2887E-5,4.6488E-5,3.0584E-5
1903,8.3557E-5,4.6839E-5,3.0922E-5
1904,8.4242E-5,4.7196E-5,3.1268E-5
1905,8.4946E-5,4.7559E-5,3.1622E-5
1906,8.5667E-5,4.7929E-5,3.1985E-5
1907,8.6409E-5,4.8304E-5,3.2358E-5
1908,8.7173E-5,4.8687E-5,3.274E-5
1909,8.7962E-5,4.9076E-5,3.3133E-5
1910,8.878E-5,4.9471E-5,3.3537E-5
1911,8.963E-5,4.9875E-5,3.3953E-5
1912,9.0519E-5,5.0285E-5,3.4382E-5
1913,9.1456E-5,5.0703E-5,3.4824E-5
1914,9.2453E-5,5.113E-5,3.5281E-5
1915,9.3529E-5,5.1564E-5,3.5754E-5
1916,9.4713E-5,5.2007E-5,3.6242E-5
1917,9.6052E-5,5.2458E-5,3.6748E-5
1918,9.762E-5,5.2919E-5,3.7274E-5
1919,9.9536E-5,5.3389E-5,3.7821E-5
1920,1.0197E-4,5.3869E-5,3.839E-5
1921,1.0504E-4,5.4359E-5,3.8987E-5
1922,1.0843E-4,5.486E-5,3.9616E-5
1923,1.1077E-4,5.5372E-5,4.0283E-5
1924,1.1094E-4,5.5896E-5,4.0994E-5
1925,1.0994E-4,5.6432E-5,4.1763E-5
1926,1.0908E-4,5.6981E-5,4.2609E-5
1927,1.0875E-4,5.7544E-5,4.3556E-5
1928,1.0892E-4,5.8121E-5,4.4641E-5
1929,1.0946E-4,5.8714E-5,4.5914E-5
1930,1.103E-4,5.9324E-5,4.7442E-5
1931,1.1137E-4,5.9951E-5,4.9277E-5
1932,1.1262E-4,6.0598E-5,5.1365E-5
1933,1.1402E-4,6.1267E-5,5.3412E-5
1934,1.1558E-4,6.1959E-5,5.5096E-5
1935,1.1728E-4,6.2678E-5,5.6448E-5
1936,1.1914E-4,6.3429E-5,5.759E-5
1937,1.2117E-4,6.4215E-5,5.8816E-5
1938,1.2342E-4,6.5046E-5,6.0349E-5
1939,1.2592E-4,6.5931E-5,6.2274E-5
1940,1.2874E-4,6.6889E-5,6.4537E-5
1941,1.3197E-4,6.7943E-5,6.6962E-5
1942,1.3575E-4,6.9132E-5,6.9141E-5
1943,1.4031E-4,7.0501E-5,7.0504E-5
1944,1.4596E-4,7.2067E-5,7.072E-5
1945,1.5326E-4,7.3755E-5,7.0786E-5
1946,1.6307E-4,7.5485E-5,7.1807E-5
1947,1.7676E-4,7.7284E-5,7.4188E-5
1948,1.9615E-4,7.9119E-5,7.817E-5
1949,2.2233E-4,8.0811E-5,8.4219E-5
1950,2.5114E-4,8.2177E-5,9.3117E-5
1951,2.6674E-4,8.3379E-5,1.055E-4
1952,2.5643E-4,8.4566E-5,1.1962E-4
1953,2.3346E-4,8.5746E-5,1.281E-4
1954,2.1404E-4,8.6928E-5,1.2497E-4
1955,2.0203E-4,8.8463E-5,1.1613E-4
1956,1.96E-4,9.0758E-5,1.0894E-4
1957,1.9413E-4,9.4068E-5,1.0535E-4
1958,1.9519E-4,9.8588E-5,1.0494E-4
1959,1.9852E-4,1.0441E-4,1.0704E-4
1960,2.0379E-4,1.1149E-4,1.1131E-4
1961,2.1095E-4,1.1953E-4,1.1771E-4
1962,2.2018E-4,1.2848E-4,1.2654E-4
1963,2.3181E-4,1.3921E-4,1.3847E-4
1964,2.4646E-4,1.5173E-4,1.5465E-4
1965,2.6507E-4,1.6337E-4,1.7699E-4
1966,2.8909E-4,1.7017E-4,2.0859E-4
1967,3.2077E-4,1.6984E-4,2.5422E-4
1968,3.6369E-4,1.6145E-4,3.2038E-4
1969,4.2365E-4,1.4978E-4,4.1158E-4
1970,5.1011E-4,1.3961E-4,5.1486E-4
1971,6.3804E-4,1.328E-4,5.7775E-4
1972,8.2789E-4,1.2966E-4,5.5813E-4
1973,0.0010932,1.2981E-4,5.0052E-4
1974,0.0013889,1.3307E-4,4.608E-4
1975,0.0015377,1.3981E-4,4.5832E-4
1976,0.0013965,1.51E-4,4.9776E-4
1977,0.0011099,1.6748E-4,5.8119E-4
1978,8.56E-4,1.8675E-4,6.8724E-4
1979,6.791E-4,1.983E-4,7.3808E-4
1980,5.6467E-4,1.9333E-4,6.7121E-4
1981,4.9219E-4,1.7938E-4,5.4811E-4
1982,4.4705E-4,1.6618E-4,4.4529E-4
1983,4.2032E-4,1.5709E-4,3.8167E-4
1984,4.0688E-4,1.5221E-4,3.5196E-4
1985,4.0409E-4,1.5062E-4,3.5019E-4
1986,4.1111E-4,1.513E-4,3.7491E-4
1987,4.2867E-4,1.5301E-4,4.2669E-4
1988,4.594E-4,1.5477E-4,4.9222E-4
1989,5.0834E-4,1.5654E-4,5.2313E-4
1990,5.8323E-4,1.5826E-4,4.8043E-4
1991,6.9052E-4,1.5947E-4,4.0188E-4
1992,8.1632E-4,1.598E-4,3.344E-4
1993,8.9835E-4,1.6007E-4,2.8904E-4
1994,8.8238E-4,1.6115E-4,2.6127E-4
1995,8.0739E-4,1.6316E-4,2.4512E-4
1996,7.2657E-4,1.6593E-4,2.3642E-4
1997,6.6476E-4,1.693E-4,2.3311E-4
1998,6.285E-4,1.7319E-4,2.3424E-4
1999,6.147E-4,1.7755E-4,2.3933E-4
2000,6.1886E-4,1.8236E-4,2.4695E-4
2001,6.3835E-4,1.8763E-4,2.5323E-4
2002,6.7245E-4,1.9339E-4,2.5514E-4
2003,7.2186E-4,1.9967E-4,2.5571E-4
2004,7.8894E-4,2.0653E-4,2.587E-4
2005,8.7807E-4,2.1401E-4,2.6511E-4
2006,9.9637E-4,2.2217E-4,2.7474E-4
2007,0.0011543,2.312E-4,2.8743E-4
2008,0.0013648,2.4136E-4,3.0318E-4
2009,0.0016424,2.5303E-4,3.2228E-4
2010,0.0020151,2.6675E-4,3.4521E-4
2011,0.0025359,2.8329E-4,3.7269E-4
2012,0.0032427,3.0387E-4,4.0581E-4
2013,0.0041012,3.3044E-4,4.461E-4
2014,0.0050627,3.6587E-4,4.9571E-4
2015,0.0061159,4.1338E-4,5.5758E-4
2016,0.0071337,4.7241E-4,6.3611E-4
2017,0.0077625,5.3157E-4,7.3825E-4
2018,0.0076258,5.7672E-4,8.7479E-4
2019,0.0068226,6.0266E-4,0.001063
2020,0.0055774,6.0626E-4,0.001331
2021,0.0043167,5.9331E-4,0.0017234
2022,0.0033621,5.7027E-4,0.002303
