wave_number(cm^-1),k_film(x),k_film(y),k_film(z)
1500,1.9454E-5,1.1026E-5,4.9048E-6
1501,1.9499E-5,1.1051E-5,4.9176E-6
1502,1.9545E-5,1.1076E-5,4.9305E-6
1503,1.9591E-5,1.1101E-5,4.9434E-6
1504,1.9637E-5,1.1127E-5,4.9564E-6
1505,1.9684E-5,1.1152E-5,4.9694E-6
1506,1.973E-5,1.1178E-5,4.9825E-6
1507,1.9777E-5,1.1204E-5,4.9957E-6
1508,1.9823E-5,1.1229E-5,5.0088E-6
1509,1.987E-5,1.1255E-5,5.0221E-6
1510,1.9917E-5,1.1281E-5,5.0354E-6
1511,1.9965E-5,1.1307E-5,5.0487E-6
1512,2.0012E-5,1.1333E-5,5.0621E-6
1513,2.006E-5,1.1359E-5,5.0756E-6
1514,2.0107E-5,1.1386E-5,5.0891E-6
1515,2.0155E-5,1.1412E-5,5.1026E-6
1516,2.0203E-5,1.1439E-5,5.1163E-6
1517,2.0251E-5,1.1465E-5,5.13E-6
1518,2.03E-5,1.1492E-5,5.1437E-6
1519,2.0348E-5,1.1519E-5,5.1575E-6
1520,2.0397E-5,1.1545E-5,5.1713E-6
1521,2.0446E-5,1.1572E-5,5.1852E-6
1522,2.0495E-5,1.1599E-5,5.1992E-6
1523,2.0544E-5,1.1627E-5,5.2132E-6
1524,2.0594E-5,1.1654E-5,5.2273E-6
1525,2.0643E-5,1.1681E-5,5.2414E-6
1526,2.0693E-5,1.1708E-5,5.2556E-6
1527,2.0743E-5,1.1736E-5,5.2699E-6
1528,2.0793E-5,1.1764E-5,5.2842E-6
1529,2.0843E-5,1.1791E-5,5.2986E-6
1530,2.0894E-5,1.1819E-5,5.313E-6
1531,2.0945E-5,1.1847E-5,5.3275E-6
1532,2.0995E-5,1.1875E-5,5.3421E-6
1533,2.1046E-5,1.1903E-5,5.3567E-6
1534,2.1098E-5,1.1931E-5,5.3714E-6
1535,2.1149E-5,1.196E-5,5.3862E-6
1536,2.1201E-5,1.1988E-5,5.401E-6
1537,2.1252E-5,1.2017E-5,5.4158E-6
1538,2.1304E-5,1.2045E-5,5.4308E-6
1539,2.1356E-5,1.2074E-5,5.4458E-6
1540,2.1409E-5,1.2103E-5,5.4609E-6
1541,2.1461E-5,1.2132E-5,5.476E-6
1542,2.1514E-5,1.2161E-5,5.4912E-6
1543,2.1567E-5,1.219E-5,5.5065E-6
1544,2.162E-5,1.2219E-5,5.5218E-6
1545,2.1673E-5,1.2248E-5,5.5372E-6
1546,2.1727E-5,1.2278E-5,5.5526E-6
1547,2.1781E-5,1.2307E-5,5.5682E-6
1548,2.1834E-5,1.2337E-5,5.5838E-6
1549,2.1889E-5,1.2367E-5,5.5995E-6
1550,2.1943E-5,1.2397E-5,5.6152E-6
1551,2.1997E-5,1.2427E-5,5.631E-6
1552,2.2052E-5,1.2457E-5,5.6469E-6
1553,2.2107E-5,1.2487E-5,5.6628E-6
1554,2.2162E-5,1.2518E-5,5.6788E-6
1555,2.2217E-5,1.2548E-5,5.6949E-6
1556,2.2273E-5,1.2579E-5,5.7111E-6
1557,2.2329E-5,1.2609E-5,5.7273E-6
1558,2.2384E-5,1.264E-5,5.7436E-6
1559,2.2441E-5,1.2671E-5,5.76E-6
1560,2.2497E-5,1.2702E-5,5.7765E-6
1561,2.2554E-5,1.2733E-5,5.793E-6
1562,2.261E-5,1.2765E-5,5.8096E-6
1563,2.2667E-5,1.2796E-5,5.8263E-6
1564,2.2725E-5,1.2827E-5,5.843E-6
1565,2.2782E-5,1.2859E-5,5.8599E-6
1566,2.284E-5,1.2891E-5,5.8768E-6
1567,2.2898E-5,1.2923E-5,5.8938E-6
1568,2.2956E-5,1.2955E-5,5.9108E-6
1569,2.3014E-5,1.2987E-5,5.928E-6
1570,2.3072E-5,1.3019E-5,5.9452E-6
1571,2.3131E-5,1.3051E-5,5.9625E-6
1572,2.319E-5,1.3084E-5,5.9798E-6
1573,2.3249E-5,1.3117E-5,5.9973E-6
1574,2.3309E-5,1.3149E-5,6.0148E-6
1575,2.3369E-5,1.3182E-5,6.0325E-6
1576,2.3428E-5,1.3215E-5,6.0502E-6
1577,2.3489E-5,1.3248E-5,6.068E-6
1578,2.3549E-5,1.3282E-5,6.0858E-6
1579,2.361E-5,1.3315E-5,6.1038E-6
1580,2.367E-5,1.3349E-5,6.1218E-6
1581,2.3731E-5,1.3382E-5,6.14E-6
1582,2.3793E-5,1.3416E-5,6.1581E-6
1583,2.3854E-5,1.345E-5,6.1764E-6
1584,2.3916E-5,1.3484E-5,6.1948E-6
1585,2.3978E-5,1.3518E-5,6.2133E-6
1586,2.4041E-5,1.3552E-5,6.2319E-6
1587,2.4103E-5,1.3587E-5,6.2505E-6
