,Data,Point In,TAGs Out,Total TAGs
126,07/05/2021,0.8100475624256838,105,116
127,08/05/2021,0.5235434007134364,105,116
128,09/05/2021,0.9469678953626635,105,116
129,10/05/2021,0.9620689655172414,7,116
130,11/05/2021,0.9507728894173603,106,116
131,12/05/2021,0.9565398335315101,10,116
132,13/05/2021,0.8963139120095125,106,116
133,14/05/2021,0.9482758620689655,6,116
134,15/05/2021,0.9446492271105826,89,116
135,16/05/2021,0.9655172413793104,4,116
136,17/05/2021,0.9654577883472057,5,116
137,18/05/2021,0.852615933412604,105,116
138,19/05/2021,0.9655172413793104,4,116
139,20/05/2021,0.9632580261593341,19,116
140,21/05/2021,0.8897740784780024,85,116
141,22/05/2021,0.4136741973840666,93,116
142,23/05/2021,0.24274673008323425,94,116
143,24/05/2021,0.20903686087990486,100,116
144,25/05/2021,0.6155172413793103,98,116
145,26/05/2021,0.9722354340071344,21,116
146,27/05/2021,0.9658739595719382,9,116
147,28/05/2021,0.9653388822829965,13,116
148,29/05/2021,0.9631391200951248,23,116
149,30/05/2021,0.96230677764566,23,116
150,31/05/2021,0.9630202140309155,24,116
151,01/06/2021,0.9586206896551724,24,116
152,02/06/2021,0.9655172413793104,23,116
153,03/06/2021,0.9620689655172414,18,116
154,04/06/2021,0.9604637336504162,22,116
155,05/06/2021,0.9565398335315101,36,116
156,06/06/2021,0.9603448275862069,18,116
157,07/06/2021,0.9688466111771701,21,116
158,08/06/2021,0.93769322235434,37,116
159,09/06/2021,0.9589179548156956,27,116
160,10/06/2021,0.9639714625445898,9,116
161,11/06/2021,0.9629607609988109,20,116
162,12/06/2021,0.9638525564803805,11,116
163,13/06/2021,0.9609988109393579,6,116
164,14/06/2021,0.9677170035671819,6,116
165,15/06/2021,0.9661712247324613,5,116
166,16/06/2021,0.9665279429250891,5,116
167,17/06/2021,0.9646848989298454,5,116
168,18/06/2021,0.964922711058264,5,116
169,19/06/2021,0.9134958382877527,86,116
170,20/06/2021,0.3514268727705113,112,116
171,21/06/2021,0.1354934601664685,108,116
172,22/06/2021,0.7341260404280618,108,116
173,23/06/2021,0.5193816884661118,100,116
174,24/06/2021,0.969500594530321,6,116
175,25/06/2021,0.9645659928656362,20,116
176,26/06/2021,0.959988109393579,55,116
177,27/06/2021,0.23180737217598096,95,116
178,28/06/2021,0.4015457788347206,103,116
179,29/06/2021,0.27859690844233054,98,116
180,30/06/2021,0.11932223543400713,109,116
181,01/07/2021,0.0603448275862069,109,116
182,02/07/2021,0.18032104637336505,110,116
183,03/07/2021,0.8843043995243758,27,116
184,04/07/2021,0.9814506539833532,15,116
185,05/07/2021,0.9802021403091558,22,116
186,06/07/2021,0.9807372175980975,9,116
187,07/07/2021,0.9749702734839477,3,116
188,08/07/2021,0.9738406658739596,8,116
189,09/07/2021,0.9741379310344828,3,116
190,10/07/2021,0.9743162901307967,3,116
191,11/07/2021,0.98115338882283,3,116
192,12/07/2021,0.9797265160523186,5,116
193,13/07/2021,0.979013079667063,18,116
194,14/07/2021,0.8538644470868014,94,116
195,15/07/2021,0.9794292508917954,14,116
196,16/07/2021,0.9791914387633769,22,116
197,17/07/2021,0.9818668252080857,13,116
198,18/07/2021,0.982282996432818,10,116
199,19/07/2021,0.5978596908442331,90,116
200,20/07/2021,0.17907253269916765,109,116
201,21/07/2021,0.15856123662306779,106,116
202,22/07/2021,0.27330558858501786,106,116
203,23/07/2021,0.13941736028537455,106,116
204,24/07/2021,0.12158145065398335,106,116
205,25/07/2021,0.10969084423305589,106,116
206,26/07/2021,0.18365041617122474,97,116
207,27/07/2021,0.18828775267538644,96,116
208,28/07/2021,0.4233055885850178,98,116
209,29/07/2021,0.9269322235434008,26,116
210,30/07/2021,0.962128418549346,27,116
211,31/07/2021,0.9823424494649227,5,116
212,01/08/2021,0.9788347205707492,23,116
213,02/08/2021,0.9733650416171225,25,116
214,03/08/2021,0.4269322235434007,97,116
215,04/08/2021,0.3261593341260404,109,116
216,05/08/2021,0.9665279429250891,15,116
217,06/08/2021,0.9715219976218787,5,116
218,07/08/2021,0.9711058263971463,6,116
219,08/08/2021,0.9741379310344828,3,116
220,09/08/2021,0.9740784780023781,4,116
221,10/08/2021,0.9736623067776456,19,116
222,11/08/2021,0.9354934601664685,15,116
223,12/08/2021,0.771640903686088,93,116
224,13/08/2021,0.9662901307966706,15,116
