avg_mph,gen_1,gen_2,gen_3
2.5-5,6.659570655,5.327656524,3.995742393
5-7.5,4.389106035,3.511284828,2.633463621
7.5-10,3.607207031,2.885765625,2.164324219
10-12.5,3.3,2.64,1.98
>12.5,3.607207031,2.885765625,2.164324219
