date,event,service_adjustments,in_effect,entity,sched_to_apply,remove_to_simplify
1/1/2022,Sat. New Year's Day,Sunday Schedules,ALL DIVISIONS,mtabus,Sunday,
1/1/2022,Sat. New Year's Day,Sunday Schedules,ALL DIVISIONS,nyct,Sunday,
1/17/2022,Mon. M. L. King's Birthday*,Reduced Weekday Schedules,ALL DIVISIONS,mtabus,Weekday (school closed),
1/17/2022,Mon. M. L. King's Birthday*,Reduced Weekday Schedules,ALL DIVISIONS,nyct,Weekday (school closed),
2/1/2022,Tue. Lunar New Year*,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed),
2/1/2022,Tue. Lunar New Year*,Weekday School Closed Schedules,ALL DIVISIONS,nyct,Weekday (school closed),
2/21/2022,Mon. President's Day,Saturday Schedules,ALL DIVISIONS EXCEPT CP,mtabus,Saturday,
2/21/2022,Mon. President's Day,"Modified Saturday Schedules (QM5, QM20)",COLLEGE POINT ONLY,mtabus,,TRUE
2/21/2022,Mon. President's Day,Reduced Weekday Schedules,-,mtabus,Weekday (school closed),TRUE
2/21/2022,Mon. President's Day,Saturday Schedules,"Bk, Bx, Mn, Qns",nyct,Saturday,
2/21/2022,Mon. President's Day,"Modified Saturday Schedules (QM5, QM20)",-,nyct,,TRUE
2/21/2022,Mon. President's Day,Reduced Weekday Schedules,Staten Island Only,nyct,Weekday (school closed),TRUE
2/22/2022,Mid Winter Recess*,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed),
2/22/2022,Mid Winter Recess*,Weekday School Closed Schedules,ALL DIVISIONS,nyct,Weekday (school closed),
2/23/2022,Mid Winter Recess*,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed),
2/23/2022,Mid Winter Recess*,Weekday School Closed Schedules,ALL DIVISIONS,nyct,Weekday (school closed),
2/24/2022,Mid Winter Recess*,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed),
2/24/2022,Mid Winter Recess*,Weekday School Closed Schedules,ALL DIVISIONS,nyct,Weekday (school closed),
2/25/2022,Mid Winter Recess*,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed),
2/25/2022,Mid Winter Recess*,Weekday School Closed Schedules,ALL DIVISIONS,nyct,Weekday (school closed),
3/13/2022,Sun. Daylight Saving Time,Time Patches,ALL DIVISIONS,mtabus,,TRUE
3/13/2022,Sun. Daylight Saving Time,Time Patches,ALL DIVISIONS,nyct,,TRUE
4/15/2022,Spring Recess*,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed),
4/15/2022,Spring Recess*,Weekday School Closed Schedules,ALL DIVISIONS,nyct,Weekday (school closed),
4/16/2022,Spring Recess*,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed),
4/16/2022,Spring Recess*,Weekday School Closed Schedules,ALL DIVISIONS,nyct,Weekday (school closed),
4/17/2022,Spring Recess*,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed),
4/17/2022,Spring Recess*,Weekday School Closed Schedules,ALL DIVISIONS,nyct,Weekday (school closed),
4/18/2022,Spring Recess*,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed),
4/18/2022,Spring Recess*,Weekday School Closed Schedules,ALL DIVISIONS,nyct,Weekday (school closed),
4/19/2022,Spring Recess*,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed),
4/19/2022,Spring Recess*,Weekday School Closed Schedules,ALL DIVISIONS,nyct,Weekday (school closed),
4/20/2022,Spring Recess*,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed),
4/20/2022,Spring Recess*,Weekday School Closed Schedules,ALL DIVISIONS,nyct,Weekday (school closed),
4/21/2022,Spring Recess*,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed),
4/21/2022,Spring Recess*,Weekday School Closed Schedules,ALL DIVISIONS,nyct,Weekday (school closed),
4/22/2022,Spring Recess*,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed),
4/22/2022,Spring Recess*,Weekday School Closed Schedules,ALL DIVISIONS,nyct,Weekday (school closed),
