iter	MultiClass
0	1.086879376
1	1.075291461
2	1.063847281
3	1.052545556
4	1.04138499
5	1.030364275
6	1.01948209
7	1.008737101
8	0.9981279656
9	0.9914379701
10	0.9810482333
11	0.9744641772
12	0.9642906998
13	0.957891967
14	0.9479302482
15	0.941711358
16	0.9319569374
17	0.9259125865
18	0.9163610479
19	0.9069327713
20	0.8976263635
21	0.8884404313
22	0.8793735823
23	0.8704244256
24	0.8615915729
25	0.8528736387
26	0.8442692411
27	0.8387602166
28	0.8303399139
29	0.8220295096
30	0.8138276404
31	0.8087309128
32	0.8007023825
33	0.7955708237
34	0.7877144284
35	0.7799608311
36	0.7751509578
37	0.7675612981
38	0.7628853444
39	0.755455652
40	0.7481232204
41	0.74363411
42	0.7364557254
43	0.7293712747
44	0.7223794981
45	0.7154791469
46	0.711276193
47	0.7045202161
48	0.6978524727
49	0.6912717545
50	0.6847768652
51	0.6808405716
52	0.676652319
53	0.6703472658
54	0.6641242312
55	0.6579820702
56	0.6519196504
57	0.6459358519
58	0.6400295676
59	0.6341997027
60	0.6284451754
61	0.6227649165
62	0.6171578697
63	0.6135267675
64	0.6099491668
65	0.6045069583
66	0.6011737392
67	0.5978884773
68	0.5925996783
69	0.5873785039
70	0.5822239802
71	0.5771351461
72	0.572111053
73	0.5671507651
74	0.5622533588
75	0.5574179232
76	0.5526435596
77	0.5479293815
78	0.5432745149
79	0.5386780977
80	0.5341392798
81	0.5296572232
82	0.5252311017
83	0.5208601006
84	0.5165434173
85	0.5122802602
86	0.5080698496
87	0.5039114168
88	0.4998042045
89	0.4957474663
90	0.4917404669
91	0.4877824818
92	0.4838727973
93	0.4800107103
94	0.4761955281
95	0.4724265685
96	0.4687031595
97	0.4650246392
98	0.4613903557
99	0.457799667
100	0.4542519409
101	0.4507465548
102	0.4472828956
103	0.4438603596
104	0.4404783523
105	0.4371362883
106	0.4338335915
107	0.4305696943
108	0.4273440381
109	0.4241560729
110	0.4210052573
111	0.417891058
112	0.4148129505
113	0.4117704179
114	0.4087629517
115	0.4057900513
116	0.4028512238
117	0.3999459841
118	0.3970738545
119	0.3942343651
120	0.391427053
121	0.3886514627
122	0.385907146
123	0.3831936614
124	0.3805105746
125	0.3778574579
126	0.3752338905
127	0.3726394581
128	0.3700737528
129	0.3675363733
130	0.3650269245
131	0.3625450175
132	0.3600902694
133	0.3576623035
134	0.3552607489
135	0.3528852406
136	0.3505354191
137	0.3482109307
138	0.3459114273
139	0.3436365661
140	0.3413860097
141	0.339159426
142	0.3369564881
143	0.3347768741
144	0.3326202674
145	0.330486356
146	0.3283748329
147	0.3262853959
148	0.3242177474
149	0.3221715947
150	0.3201466493
151	0.3181426273
152	0.3161592493
153	0.3141962401
154	0.3122533288
155	0.3103302487
156	0.3084267373
157	0.3065425358
158	0.3046773898
159	0.3028310487
160	0.3010032655
161	0.2991937974
162	0.2974024049
163	0.2956288524
164	0.293872908
165	0.292134343
166	0.2904129326
167	0.2887084551
168	0.2870206922
169	0.2853494291
170	0.2836944542
171	0.2820555589
172	0.2804325379
173	0.2788251892
174	0.2772333134
175	0.2756567145
176	0.2740951992
177	0.2725485772
178	0.271016661
179	0.269499266
180	0.2679962103
181	0.2665073146
