TAG,Descrição,PL,PH
P62_ST-5140100A,P-62: TGA - GG velocidade de rotação,6750,10000
P62_PDIT-5140124A,P-62: TGA - Pressão diferencial exaustão PT,0,30
P62_PIT-5140111A,P-62: TGA - Diesel pressão manifold primário,35,380
P62_PIT-5140112A,P-62: TGA - Diesel pressão manifold secundário,35,380
P62_TE-5140102A,P-62: TGA - Diesel temperatura manifold primário,80,160
P62_TE-5140103A,P-62: TGA - Diesel temperatura manifold secundário,80,160
P62_PIT-5140120A,P-62: TGA - Pressão sucção P2,14,15
P62_PIT-5140123A,P-62: TGA - Pressão exaustão GG P48,15,60
P62_PT-5140121A,P-62: TGA - Pressão de descarga PS3 ,55,300
P62_TE-5140105A,P-62: TGA - Temperatura sucção T2 ,70,95
P62_TE-5140106A,P-62: TGA - Temperatura de descarga T3 ,400,900
P62_TE-5140107A,P-62: TGA - Temperatura exaustão GG T48,670,1580
P62_TE-5140116A,P-62: TGA - Temperatura exaustão PT,600,1020
P62_TGA-SPREAD,P-62: TGA - Temperatura exaustão GG Spread,50,200
P62_VT-5140100A,P-62: TGA - GG vibração,3,60
P62_ET-5147001A,P-62: TENSÃO DO TG-A,13,14
P62_JT-5147001A,P-62: POTÊNCIA DO TG-A,1,25
P62_TE-5140135A,P-62: TGA - Gearbox temperatura 1 do mancal DE do eixo de baixa,130,190
P62_TE-5140137A,P-62: TGA - Gearbox temperatura 1 do mancal NDE do eixo de alta ,130,190
P62_TE-5140139A,P-62: TGA - Gearbox temperatura 1 do mancal NDE do eixo de baixa,130,190
P62_TE-5140141A,P-62: TGA - Gearbox temperatura 1 do mancal DE do eixo de alta,130,190
P62_TE-5140143A,P-62: TGA - Gearbox temperatura 1 do mancal de escora ativo,130,190
P62_VE-5140102A,P-62: TGA - Gerador acelerômetro carcaça NDE,1,2.5
P62_VE-5140104A,P-62: TGA - Gearbox acelerômetro carcaça LSS,1,5
P62_VE-5140105A,P-62: TGA - Gearbox acelerômetro carcaça HSS,1,5
P62_XT-5140108-XA,P-62: TGA - Gerador vibração radial X NDE no mancal ,20,50
P62_XT-5140108-YA,P-62: TGA - Gerador vibração radial Y NDE no mancal,20,50
P62_XT-5140109-XA,P-62: TGA - Gerador vibração radial X DE no mancal,20,50
P62_XT-5140109-YA,P-62: TGA - Gerador vibração radial Y DE no mancal,20,50
P62_XT-5140110-XA,P-62: TGA - Gearbox vibração radial X DE do eixo de baixa,10,25
