name	parent	display_name	state	create_time	update_time
folders/30263264461	folders/337401936763	apps-script	1	2019-05-23 13:26:37.435000+00:00	2019-05-23 13:26:37.435000+00:00
folders/337401936763	organizations/494667196037	system-gsuite	1	2019-05-23 13:26:33.459000+00:00	2019-05-23 13:26:33.494000+00:00
folders/30263264461	folders/337401936763	apps-script	1	2019-05-23 13:26:37.435000+00:00	2019-05-23 13:26:37.435000+00:00
folders/337401936763	organizations/494667196037	system-gsuite	1	2019-05-23 13:26:33.459000+00:00	2019-05-23 13:26:33.494000+00:00
folders/30263264461	folders/337401936763	apps-script	1	2019-05-23 13:26:37.435000+00:00	2019-05-23 13:26:37.435000+00:00
