season,tou,rate_type,production_charge,delivery_charge,total_charge_usd_per_kw
summer_june-july-august,8a-06p_m-f,tod_high,7.71,7.4,15.11
summer_june-july-august,8a-10p_m-f,tod_high,0,20.46,20.46
summer_june-july-august,all_else,tod_high,0,0,0
winter,8a-06p_m-f,tod_high,7.71,0,7.71
winter,8a-10p_m-f,tod_high,0,11.89,11.89
winter,all_else,tod_high,0,0,0
summer_june-july-august,8a-06p_m-f,tod_low,7.71,7.4,15.11
summer_june-july-august,8a-10p_m-f,tod_low,0,20.46,20.46
summer_june-july-august,all_else,tod_low,0,22.47,22.47
winter,8a-06p_m-f,tod_low,7.71,0,7.71
winter,8a-10p_m-f,tod_low,0,11.89,11.89
winter,all_else,tod_low,0,7.11,7.11
