TAG,Descrição,PL,PH
SESAUPI01-P62_ZT-5140100-2A,P-62: TGA - Desl axial 2 PT,-0.5,0.5
SESAUPI01-P62_ZT-5140101-1A,P-62: TGA - Gearbox deslocamento axial 1 LSS,-0.4,0.4
SESAUPI01-P62_ZT-5140101-2A,P-62: TGA - Gearbox deslocamento axial 2 LSS,-0.4,0.4
SESAUPI01-P62_FCV-5140105A_ACT,P-62: TGA - Gás combustível posição válvula metering,10,100
'P62_TE-5140107-1A'-'P62_TE-5140107A',PI Calc,0,300
'P62_TE-5140107-2A'-'P62_TE-5140107A',PI Calc,0,300
'P62_TE-5140107-3A'-'P62_TE-5140107A',PI Calc,0,300
'P62_TE-5140107-4A'-'P62_TE-5140107A',PI Calc,0,300
'P62_TE-5140107-5A'-'P62_TE-5140107A',PI Calc,0,300
'P62_TE-5140107-6A'-'P62_TE-5140107A',PI Calc,0,300
'P62_TE-5140107-7A'-'P62_TE-5140107A',PI Calc,0,300
'P62_TE-5140107-8A'-'P62_TE-5140107A',PI Calc,0,300
('P62_ZT-5140105-1A'+'P62_ZT-5140105-2A')/2,PI Calc,15,40
'P62_TE-5140122A'-'P62_TE-5140121A',PI Calc,15,90
'P62_TE-5140122A'-'P62_TE-5140123A',PI Calc,15,80
'P62_TE-5140124-1A'-'P62_TIT-5140151A',PI Calc,20,55
'P62_TE-5140125-1A'-'P62_TIT-5140151A',PI Calc,20,55
('P62_TE-5140126A'+'P62_TE-5140127A')/2,PI Calc,110,230
('P62_TE-5140129A'+'P62_TE-5140130A')/2,PI Calc,120,230
('P62_TE-5140132A'+'P62_TE-5140133A')/2,PI Calc,120,230
'P62_TE-5140136A'-'P62_TIT-5140151A',PI Calc,-30,85
'P62_TE-5140138A'-'P62_TIT-5140151A',PI Calc,-30,85
'P62_TE-5140140A'-'P62_TIT-5140151A',PI Calc,-30,85
'P62_TE-5140142A'-'P62_TIT-5140151A',PI Calc,-30,85
'P62_TE-5140144A'-'P62_TIT-5140151A',PI Calc,-20,55
'P62_TE-5140146A'-'P62_TIT-5140151A',PI Calc,20,85
('P62_TE-5140143A'+'P62_TE-5140144A')/2-('P62_TE-5140145A'+'P62_TE-5140146A')/2,PI Calc,0,25
('P62_TE-5140108-1A'+'P62_TE-5140108-2A')/2,PI Calc,335,570
('P62_TE-5140109-1A'+'P62_TE-5140109-2A')/2,PI Calc,440,662
('P62_TE-5140110-1A'+'P62_TE-5140110-2A')/2,PI Calc,500,752
('P62_TE-5140111-1A'+'P62_TE-5140111-2A')/2,PI Calc,500,752
'P62_TE-5140112-3A'-'P62_TIT-5140151A',PI Calc,20,67
'P62_TE-5140113-3A'-'P62_TIT-5140151A',PI Calc,10,67
'P62_TE-5140114-3A'-'P62_TIT-5140151A',PI Calc,40,67
('P62_TE-5140114-1A'+'P62_TE-5140114-3A')/2-('P62_TE-5140113-1A'+'P62_TE-5140113-3A')/2,PI Calc,0,25
'P62_TE-5140115-3A'-'P62_TIT-5140151A',PI Calc,20,67
'P62_TT-5140162A'-'P62_TE-5140105A',PI Calc,50,90
'P62_PIT-5140104A'-'P62_PIT-5140105A',PI Calc,250,350
'P62_TIT-5140100A'-'P62_TE-5140102A',PI Calc,15,110
'P62_TIT-5140100A'-'P62_TE-5140103A',PI Calc,15,110
'P62_PIT-5140111A'-'P62_PT-5140121A',PI Calc,0,50
'P62_PIT-5140112A'-'P62_PT-5140121A',PI Calc,0,50
'P62_TE-5140157A'-'P62_TE-5140156A',PI Calc,20,31
'P62_TE-5140158A'-'P62_TE-5140156A',PI Calc,20,50
'P62_TE-5140159A'-'P62_TE-5140156A',PI Calc,20,90
'P62_TE-5140160A'-'P62_TE-5140156A',PI Calc,20,81
'P62_TIT-5135013'-'P62_TIT-5135011',PI Calc,35,50
'P62_TIT-5135012A'-'P62_TIT-5135012B',PI Calc,40,50
