TAG,Descrição,PL,PH
SESAUPI01-P62_ET-5147001A,P-62: TENSÃO DO TG-A,13,14
SESAUPI01-P62_FIT-5140139A,P-62: TGA - Óleo mineral vazão a jusante do filtro ,1000,1280
SESAUPI01-P62_FT-5140172A,P-62: TGA - Gás combustível vazão,3000,6000
SESAUPI01-P62_JT-5147001A,P-62: POTÊNCIA DO TG-A,1,25
SESAUPI01-P62_LIT-5140101A,P-62: TGA - Gás combustível nível scrubber A1,0,25
SESAUPI01-P62_LIT-5140102A,P-62: TGA - Gás combustível nível scrubber A2,0,25
SESAUPI01-P62_PDIT-5140124A,P-62: TGA - Pressão diferencial exaustão PT,0,30
SESAUPI01-P62_PDIT-5140163A,P-62: TGA - Pressão diferencial filtro ar de combustão,0.2,2.5
SESAUPI01-P62_PDIT-5140164A,P-62: TGA - Pressão diferencial filtro ar de entrada Turbina,0.2,3
SESAUPI01-P62_PDIT-5140165A,P-62: TGA - Pressão diferencial pré-filtro ar de entrada Turbina,0.2,1
SESAUPI01-P62_PIT-5140103A,P-62: TGA - Gás combustível pressão,500,650
SESAUPI01-P62_PIT-5140104A,P-62: TGA - Gás combustível pressão a montante da válvula metering ,550,650
SESAUPI01-P62_PIT-5140105A,P-62: TGA - Gás combustível pressão a jusante da válvula metering ,35,380
SESAUPI01-P62_PIT-5140111A,P-62: TGA - Diesel pressão manifold primário,35,380
SESAUPI01-P62_PIT-5140112A,P-62: TGA - Diesel pressão manifold secundário,35,380
SESAUPI01-P62_PIT-5140120A,P-62: TGA - Pressão sucção P2,14,15
SESAUPI01-P62_PIT-5140123A,P-62: TGA - Pressão exaustão GG P48,15,60
SESAUPI01-P62_PIT-5140131A,P-62: TGA - Óleo mineral pressão de header,20,30
SESAUPI01-P62_PIT-5140138A,P-62: TGA - Óleo mineral pressão de overhead,14,20
SESAUPI01-P62_PIT-5140141A,P-62: TGA - Óleo mineral pressão de descarga da bomba de emergência,2,7
SESAUPI01-P62_PIT-5140150A,P-62: TGA - Óleo sintético pressão scavenge,25,65
SESAUPI01-P62_PIT-5140151A,P-62: TGA - Óleo sintético pressão,25,100
SESAUPI01-P62_PT-5140121A,P-62: TGA - Pressão de descarga PS3 ,55,300
SESAUPI01-P62_SE-5140101A,P-62: TGA - PT velocidade de rotação,3400,6200
SESAUPI01-P62_ST-5140100A,P-62: TGA - GG velocidade de rotação,6750,10000
SESAUPI01-P62_TE-5140102A,P-62: TGA - Diesel temperatura manifold primário,80,160
SESAUPI01-P62_TE-5140103A,P-62: TGA - Diesel temperatura manifold secundário,80,160
SESAUPI01-P62_TE-5140105A,P-62: TGA - Temperatura sucção T2 ,70,95
SESAUPI01-P62_TE-5140106A,P-62: TGA - Temperatura de descarga T3 ,400,900
SESAUPI01-P62_TE-5140107A,P-62: TGA - Temperatura exaustão GG T48,670,1580
SESAUPI01-P62_TE-5140112-1A,P-62: TGA - Temperatura PT thrust journal bearing 1,130,200
SESAUPI01-P62_TE-5140113-1A,P-62: TGA - Temperatura PT thrust bearing inactive side ,130,180
SESAUPI01-P62_TE-5140114-1A,P-62: TGA - Temperatura PT thrust bearing active side,130,200
SESAUPI01-P62_TE-5140115-1A,P-62: TGA - Temperatura PT thrust journal bearing 2,130,200
SESAUPI01-P62_TE-5140116A,P-62: TGA - Temperatura exaustão PT,600,1020
SESAUPI01-P62_TE-5140135A,P-62: TGA - Gearbox temperatura 1 do mancal DE do eixo de baixa,130,190
SESAUPI01-P62_TE-5140137A,P-62: TGA - Gearbox temperatura 1 do mancal NDE do eixo de alta ,130,190
SESAUPI01-P62_TE-5140139A,P-62: TGA - Gearbox temperatura 1 do mancal NDE do eixo de baixa,130,190
SESAUPI01-P62_TE-5140141A,P-62: TGA - Gearbox temperatura 1 do mancal DE do eixo de alta,130,190
SESAUPI01-P62_TE-5140143A,P-62: TGA - Gearbox temperatura 1 do mancal de escora ativo,130,190
SESAUPI01-P62_TE-5140145A,P-62: TGA - Gearbox temperatura 1 do mancal de escora não ativo,0,230
SESAUPI01-P62_TE-5140156A,P-62: TGA - Óleo sintético temperatura,120,150
SESAUPI01-P62_TGA-SPREAD,P-62: TGA - Temperatura exaustão GG Spread,50,200
SESAUPI01-P62_TIT-5135013,P-62: TEMPERATURA (°C),65,100
SESAUPI01-P62_TIT-5140100A,P-62: TGA - Gás combustível temperatura,130,175
SESAUPI01-P62_TIT-5140151A,P-62: TGA - Óleo mineral temperatura de header,120,145
SESAUPI01-P62_VE-5140102A,P-62: TGA - Gerador acelerômetro carcaça NDE,1,2.5
SESAUPI01-P62_VE-5140103A,P-62: TGA - Gerador acelerômetro carcaça DE,1,2.5
SESAUPI01-P62_VE-5140104A,P-62: TGA - Gearbox acelerômetro carcaça LSS,1,5
SESAUPI01-P62_VE-5140105A,P-62: TGA - Gearbox acelerômetro carcaça HSS,1,5
SESAUPI01-P62_VT-5140100A,P-62: TGA - GG vibração,3,60
SESAUPI01-P62_VT-5140101A,P-62: TGA - Vibração PT (Band-pass),0,7
SESAUPI01-P62_VT-5140101A-1X,P-62: TGA - Vibração PT (1X Amp),0,7
SESAUPI01-P62_XT-5140106-XA,P-62: TGA - Radial vib 1 mancal 1 PT ,5,20
SESAUPI01-P62_XT-5140106-YA,P-62: TGA - Radial vib 2 mancal 1 PT ,5,20
SESAUPI01-P62_XT-5140107-XA,P-62: TGA - Radial vib 1 mancal 2 PT ,20,50
SESAUPI01-P62_XT-5140107-YA,P-62: TGA - Radial vib 2 mancal 2 PT ,20,50
SESAUPI01-P62_XT-5140108-XA,P-62: TGA - Gerador vibração radial X NDE no mancal ,20,50
SESAUPI01-P62_XT-5140108-YA,P-62: TGA - Gerador vibração radial Y NDE no mancal,20,50
SESAUPI01-P62_XT-5140109-XA,P-62: TGA - Gerador vibração radial X DE no mancal,20,50
SESAUPI01-P62_XT-5140109-YA,P-62: TGA - Gerador vibração radial Y DE no mancal,20,50
SESAUPI01-P62_XT-5140110-XA,P-62: TGA - Gearbox vibração radial X DE do eixo de baixa,10,25
SESAUPI01-P62_XT-5140110-YA,P-62: TGA - Gearbox vibração radial Y DE do eixo de baixa,10,25
SESAUPI01-P62_XT-5140111-XA,P-62: TGA - Gearbox vibração radial X NDE do eixo de alta,5,25
SESAUPI01-P62_XT-5140111-YA,P-62: TGA - Gearbox vibração radial Y NDE do eixo de alta,5,25
SESAUPI01-P62_XT-5140112-XA,P-62: TGA - Gearbox vibração radial X NDE do eixo de baixa,10,25
SESAUPI01-P62_XT-5140112-YA,P-62: TGA - Gearbox vibração radial Y NDE do eixo de baixa,10,25
SESAUPI01-P62_XT-5140113-XA,P-62: TGA - Gearbox vibração radial X DE do eixo de alta,5,25
SESAUPI01-P62_XT-5140113-YA,P-62: TGA - Gearbox vibração radial Y DE do eixo de alta,5,25
SESAUPI01-P62_ZT-5140100-1A,P-62: TGA - Desl axial 1 PT,-0.5,0.5
