date,days,service_adjustments,in_effect,entity,sched_to_apply
2022-01-01,Sat. New Year's Day,Sunday Schedules,ALL DIVISIONS,mtabus,Sunday
2022-01-17,Mon. M. L. King's Birthday*,Reduced Weekday Schedules,ALL DIVISIONS,mtabus,Weekday (school closed
2022-02-01,Tue. Lunar New Year*,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed
2022-02-21,Mon. President's Day,Saturday Schedules,ALL DIVISIONS EXCEPT CP,mtabus,Saturday
2022-02-21,Mon. President's Day,"Modified Saturday Schedules (QM5, QM20)",COLLEGE POINT ONLY,mtabus,
2022-02-21,Mon. President's Day,Reduced Weekday Schedules,-,mtabus,Weekday (school closed
2022-02-22,Mid Winter Recess*,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed
2022-02-23,Mid Winter Recess*,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed
2022-02-24,Mid Winter Recess*,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed
2022-02-25,Mid Winter Recess*,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed
2022-03-13,Sun. Daylight Saving Time,Time Patches,ALL DIVISIONS,mtabus,
2022-04-15,Spring Recess*,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed
2022-04-16,Spring Recess*,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed
2022-04-17,Spring Recess*,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed
2022-04-18,Spring Recess*,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed
2022-04-19,Spring Recess*,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed
2022-04-20,Spring Recess*,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed
2022-04-21,Spring Recess*,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed
2022-04-22,Spring Recess*,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed
2022-05-02,Mon. Eid Al Fitr*,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed
2022-05-30,Mon. Memorial Day,Sunday Schedules,ALL DIVISIONS,mtabus,Sunday
2022-06-09,Thu. Anniversary Day*,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed
